frame,time_sec,kp0_x,kp0_y,kp0_c,kp1_x,kp1_y,kp1_c,kp2_x,kp2_y,kp2_c,kp3_x,kp3_y,kp3_c,kp4_x,kp4_y,kp4_c,kp5_x,kp5_y,kp5_c,kp6_x,kp6_y,kp6_c,kp7_x,kp7_y,kp7_c,kp8_x,kp8_y,kp8_c,kp9_x,kp9_y,kp9_c,kp10_x,kp10_y,kp10_c,kp11_x,kp11_y,kp11_c,kp12_x,kp12_y,kp12_c,kp13_x,kp13_y,kp13_c,kp14_x,kp14_y,kp14_c
355,11.8452,928,120,0.150636,920,120,0.126277,912,120,0.189781,848,224,0.275508,848,312,0.224339,0,0,0,856,240,0.105427,0,0,0,0,0,0,784,352,0.134486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,12.012,936,112,0.306392,928,112,0.272649,920,112,0.36259,848,224,0.101784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,12.1788,936,160,0.669916,928,152,0.684778,920,152,0.692789,840,248,0.704043,856,328,0.370158,952,368,0.293218,944,232,0.29451,1000,320,0.166669,840,216,0.121323,840,440,0.267542,0,0,0,0,0,0,928,440,0.222662,0,0,0,0,0,0
370,12.3457,928,160,0.551698,928,152,0.610436,912,152,0.602617,832,248,0.67345,832,328,0.376209,936,336,0.21894,976,232,0.222834,0,0,0,0,0,0,840,456,0.325258,0,0,0,0,0,0,912,456,0.152998,0,0,0,0,0,0
375,12.5125,0,0,0,0,0,0,0,0,0,0,0,0,736,440,0.126412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,12.6793,968,160,0.23011,968,144,0.220024,952,152,0.226985,760,424,0.13571,720,464,0.20091,728,448,0.137862,0,0,0,0,0,0,0,0,0,768,536,0.139173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,12.8462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736,216,0.107831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,13.013,744,432,0.247628,752,432,0.2231,744,424,0.180093,744,464,0.162629,728,464,0.176992,776,432,0.139285,768,432,0.144356,816,400,0.211982,768,448,0.176649,800,560,0.199709,0,0,0,0,0,0,840,544,0.117087,0,0,0,0,0,0
395,13.1798,744,448,0.103419,760,440,0.103957,0,0,0,768,440,0.11094,816,384,0.109094,792,424,0.101481,0,0,0,0,0,0,0,0,0,824,560,0.143333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,13.3467,0,0,0,792,416,0.10457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,576,0.104509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,13.5135,0,0,0,0,0,0,0,0,0,0,0,0,800,384,0.107012,0,0,0,0,0,0,0,0,0,0,0,0,752,216,0.101477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,13.6803,768,392,0.130522,768,384,0.164847,808,864,0.125602,776,424,0.168577,752,424,0.141713,0,0,0,768,440,0.109232,0,0,0,0,0,0,776,536,0.132123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,13.8472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,528,0.118351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,14.014,816,256,0.543092,824,248,0.590622,808,248,0.608885,816,312,0.630379,792,256,0.566881,848,232,0.34457,888,304,0.434604,840,216,0.123103,824,280,0.143778,832,448,0.300554,0,0,0,0,0,0,912,440,0.213419,0,0,0,0,0,0
425,14.1808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,14.3477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,14.5145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,14.6813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,14.8482,0,0,0,832,464,0.115993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,15.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
